Pixel-X	Pixel-Y	Longitude	Latitude	rhos_492	rhos_559	rhos_665	rhos_739	rhos_833	rhos_1610	l2_negatives	lon	lat	ndvi	fdi	virtual_red	virtual_green	virtual_blue
392.5	519.5	-2.5674283504486084	56.19135665893555	0.039252028	0.03809126	0.027990216	0.065103546	0.033516277	0.03605747	0	-2.5674284	56.191357	0.08984515	0.020050202	0.027990216	0.03809126	0.039252028
430.5	519.5	-2.561305284500122	56.19133758544922	0.04154316	0.04184923	0.033945624	0.064653024	0.047447946	0.029012056	0	-2.5613053	56.191338	0.1658893	0.04615664	0.033945624	0.04184923	0.04154316
391.5	520.5	-2.5675904750823975	56.19126892089844	0.034792837	0.029813994	0.020310502	0.024028273	0.021370986	0.011139458	0	-2.5675905	56.19127	0.025442565	0.020256162	0.020310502	0.029813994	0.034792837
443.5	520.5	-2.559211492538452	56.19123840332031	0.03236978	0.028809782	0.019048963	0.022106059	0.019908346	0.008994382	0	-2.5592115	56.19124	0.022059621	0.021111935	0.019048963	0.028809782	0.03236978
444.5	520.5	-2.5590505599975586	56.19123840332031	0.033007592	0.028935323	0.018590176	0.01950486	0.019683313	0.008279339	0	-2.5590506	56.19124	0.028561184	0.020134933	0.018590176	0.028935323	0.033007592
446.5	521.5	-2.5587291717529297	56.19114685058594	0.03326268	0.026298381	0.017557807	0.018713063	0.018895661	0.008585788	0	-2.5587292	56.191147	0.036700327	0.018186642	0.017557807	0.026298381	0.03326268
453.5	521.5	-2.5576014518737793	56.19114303588867	0.03339022	0.027805373	0.017557807	0.019391749	0.018333029	0.008279339	0	-2.5576015	56.191143	0.021599434	0.018696675	0.017557807	0.027805373	0.03339022
437.5	522.5	-2.560180425643921	56.191062927246094	0.044849966	0.04285088	0.03188463	0.06307606	0.038011868	0.021353036	0	-2.5601804	56.191063	0.087661594	0.04911007	0.03188463	0.04285088	0.044849966
438.5	522.5	-2.5600192546844482	56.191062927246094	0.034920324	0.031696368	0.025469314	0.055075012	0.032504566	0.015633652	0	-2.5600193	56.191063	0.12135209	0.047547527	0.025469314	0.031696368	0.034920324
439.5	522.5	-2.5598580837249756	56.191062927246094	0.03211464	0.025167849	0.021342527	0.055075012	0.025083164	0.015633652	0	-2.559858	56.191063	0.08057256	0.040126126	0.021342527	0.025167849	0.03211464
440.5	522.5	-2.559697151184082	56.191062927246094	0.035175264	0.031696368	0.02317691	0.0287758	0.024633251	0.0116501795	0	-2.5596972	56.191063	0.030460905	0.026302999	0.02317691	0.031696368	0.035175264
441.5	522.5	-2.5595359802246094	56.19105911254883	0.035812575	0.030190535	0.022259768	0.0287758	0.02328344	0.0116501795	0	-2.559536	56.19106	0.022476953	0.024953188	0.022259768	0.030190535	0.035812575
447.5	522.5	-2.5585691928863525	56.19105911254883	0.033135146	0.029437441	0.018246066	0.020862088	0.019345755	0.008790086	0	-2.5585692	56.19106	0.02925341	0.019945003	0.018246066	0.029437441	0.033135146
440.5	523.5	-2.5596981048583984	56.19097137451172	0.036577187	0.03345263	0.023635445	0.0287758	0.025308108	0.0116501795	0	-2.559698	56.19097	0.034175344	0.026977856	0.023635445	0.03345263	0.036577187
399.5	524.5	-2.56630539894104	56.1909065246582	0.041161407	0.038592488	0.030281274	0.032617494	0.04812171	0.030747958	0	-2.5663054	56.190907	0.22754791	0.018827837	0.030281274	0.038592488	0.041161407
440.5	524.5	-2.559699058532715	56.19088363647461	0.04039778	0.035333656	0.025583921	0.024819676	0.027669849	0.013693019	0	-2.559699	56.190884	0.03916958	0.022630896	0.025583921	0.035333656	0.04039778
442.5	524.5	-2.5593769550323486	56.190879821777344	0.03326268	0.03044153	0.020425178	0.022784526	0.021821002	0.011037314	0	-2.559377	56.19088	0.03304023	0.019920407	0.020425178	0.03044153	0.03326268
446.5	524.5	-2.558732271194458	56.190879821777344	0.034155354	0.029060861	0.01801665	0.021201363	0.018783137	0.008381489	0	-2.5587323	56.19088	0.020828594	0.02037266	0.01801665	0.029060861	0.034155354
440.5	525.5	-2.5597002506256104	56.190792083740234	0.030966219	0.03809126	0.026271505	0.024819676	0.028344562	0.013693019	0	-2.5597003	56.190792	0.03795691	0.02330561	0.026271505	0.03809126	0.030966219
442.5	525.5	-2.559377908706665	56.190792083740234	0.034155354	0.030316042	0.020195823	0.022784526	0.021258483	0.011037314	0	-2.559378	56.190792	0.025634479	0.019357888	0.020195823	0.030316042	0.034155354
443.5	525.5	-2.5592167377471924	56.19078826904297	0.032624923	0.028935323	0.020310502	0.022784526	0.021933502	0.011037314	0	-2.5592167	56.19079	0.03841963	0.020032907	0.020310502	0.028935323	0.032624923
446.5	525.5	-2.5587334632873535	56.19078826904297	0.034155354	0.028182045	0.018475473	0.021201363	0.019570794	0.008381489	0	-2.5587335	56.19079	0.028789185	0.021160318	0.018475473	0.028182045	0.034155354
462.5	525.5	-2.556155204772949	56.19078063964844	0.03402784	0.026298381	0.017672515	0.01950486	0.018670611	0.0074621374	0	-2.5561552	56.19078	0.027463146	0.020575035	0.017672515	0.026298381	0.03402784
441.5	526.5	-2.559540033340454	56.19070053100586	0.03797855	0.033578053	0.022947634	0.026063189	0.029019242	0.013999439	0	-2.55954	56.1907	0.11683613	0.02440272	0.022947634	0.033578053	0.03797855
442.5	526.5	-2.5593788623809814	56.19070053100586	0.031987052	0.03044153	0.021915812	0.024932725	0.023733392	0.010526587	0	-2.5593789	56.1907	0.039816253	0.02441158	0.021915812	0.03044153	0.031987052
441.5	527.5	-2.5595409870147705	56.19061279296875	0.035302736	0.034455936	0.021571847	0.026063189	0.026095403	0.013999439	0	-2.559541	56.190613	0.094898626	0.021478882	0.021571847	0.034455936	0.035302736
442.5	527.5	-2.559380054473877	56.19061279296875	0.034665346	0.028809782	0.021457188	0.024932725	0.024633251	0.010526587	0	-2.55938	56.190613	0.06890938	0.025311438	0.021457188	0.028809782	0.034665346
443.5	527.5	-2.5592188835144043	56.190608978271484	0.034920324	0.02993951	0.021342527	0.024932725	0.022945968	0.010526587	0	-2.559219	56.19061	0.036204465	0.023624156	0.021342527	0.02993951	0.034920324
445.5	527.5	-2.558896541595459	56.190608978271484	0.03402784	0.029437441	0.020195823	0.022219136	0.021258483	0.0096072685	0	-2.5588965	56.19061	0.025634479	0.021460446	0.020195823	0.029437441	0.03402784
446.5	527.5	-2.5587353706359863	56.190608978271484	0.034792837	0.028935323	0.019163655	0.020862088	0.020358408	0.00817719	0	-2.5587354	56.19061	0.03023002	0.02204725	0.019163655	0.028935323	0.034792837
401.5	528.5	-2.5659871101379395	56.19054412841797	0.034282856	0.03270002	0.021915812	0.028549775	0.023170948	0.015122965	0	-2.565987	56.190544	0.02783824	0.018491058	0.021915812	0.03270002	0.034282856
405.5	528.5	-2.565342664718628	56.19054412841797	0.06778547	0.079401635	0.07835932	0.07343471	0.11768208	0.077700116	0	-2.5653427	56.190544	0.20058393	0.036664423	0.07835932	0.079401635	0.06778547
441.5	528.5	-2.559542179107666	56.190521240234375	0.04103415	0.043351643	0.033144187	0.10108347	0.041607305	0.0338112	0	-2.5595422	56.19052	0.11321671	0.060118984	0.033144187	0.043351643	0.04103415
442.5	528.5	-2.5593810081481934	56.190521240234375	0.04154316	0.04785622	0.036692806	0.0665676	0.03891081	0.019412592	0	-2.559381	56.19052	0.029337278	0.056174334	0.036692806	0.04785622	0.04154316
398.5	529.5	-2.566471576690674	56.19045639038086	0.03390033	0.030818025	0.02008115	0.02346295	0.021370986	0.011241603	0	-2.5664716	56.190456	0.0311163	0.019634876	0.02008115	0.030818025	0.03390033
399.5	529.5	-2.566310405731201	56.19045639038086	0.035047807	0.0309435	0.020425178	0.02346295	0.021483494	0.011241603	0	-2.5663104	56.190456	0.025252908	0.019747384	0.020425178	0.0309435	0.035047807
409.5	529.5	-2.564699172973633	56.19044876098633	0.08441878	0.11470426	0.11187998	0.16621175	0.1758875	0.15967447	0	-2.5646992	56.19045	0.22242789	0.021297587	0.11187998	0.11470426	0.08441878
410.5	529.5	-2.56453800201416	56.19044876098633	0.07598587	0.0934282	0.099056184	0.18003641	0.15628967	0.15213433	0	-2.564538	56.19045	0.22414103	0.025856957	0.099056184	0.0934282	0.07598587
